pattern,count
Chỉ định của thuốc %,67
Bảo quản thuốc%,45
Cách dùng%,711
Lưu ý gì khi sử dụng %,60
Lưu ý%,436
Cách%,868
Trường hợp không nên dùng%,110
% là thuốc gì?,628
Tác dụng phụ của thuốc%,275
Những lưu ý khi dùng thuốc%,65
Các đối tượng sử dụng%,113
Trường hợp quên liều%,184
Công dụng của thuốc%,114
Tác dụng của thuốc%,111
Tác dụng phụ của%,288
Tương tác thuốc khi dùng%,104
Cần lưu ý gì khi sử dụng%,16
Tương tác xảy ra khi dùng thuốc %,70
Công dụng của%,111
Tác dụng phụ (ADR) của thuốc%,3
Hướng dẫn dùng thuốc%,127
Tương tác xảy ra khi dùng %,10
Xử trí khi quá liều%,146
Đối tượng chống chỉ định dùng%,443
% là gì? - %,23
Thành phần của%,98
%có tác dụng gì?,58
Xử trí khi quên một liều%,124
Chống chỉ định của thuốc%,73
Tác dụng phụ%,134
Tương tác%,392
Hướng dẫn sử dụng thuốc%,29
Thận trọng khi sử dụng%,18
Đối tượng% - Đối tượng%,20
Quá liều và cách xử%,10
Xử trí khi dùng quá liều thuốc %,27
Phụ nữ có%,165
Đối tượng đặc biệt sử dụng%,42
Xử lý khi dùng quá liều thuốc %,37
Những điều bạn cần lưu ý khi dùng thuốc%,25
Xử lý khi%,339
Trường hợp không dùng thuốc %,7
Những lưu ý quan trọng khi sử dụng%,22
Chống chỉ định%,104
Ai không nên sử dụng%,4
Tác dụng %,265
Phụ nữ%,24
% như thế nào?,33
Liều dùng%,107
Điều kiện%,4
Ai không được sử dụng thuốc%,6
Đối tượng chống chỉ định và thận trọng - %,3
Nên làm gì%,34
Giá của%,5
Đối trượng đặc biệt khi dùng%,3
Thuốc % được chỉ định để điều trị bệnh gì? - %,12
% giá bao nhiêu?,87
Chỉ định thuốc %,12
Giá thuốc%,18
Liều và cách dùng thuốc%,33
Xử trí khi%,85
Trường hợp không sử dụng%,1
Quá liều với %,10
Thành phần và công dụng của%,58
Không nên dùng thuốc%,37
% là thuốc gì và có tác dụng trong những trường hợp nào?,2
sql %bị chống chỉ định cho đối tượng nào? - Đối tượng thận trọng khi dùng%,0
Thuốc%,6
Lưu ý khi sử dụng thuốc%,7
Thành phần%,102
Chỉ định của %,45
% gặp phải những tác dụng phụ nào?,3
Đối tượng%,278
Thận trọng khi dùng%,10
Hướng dẫn sử dụng%,16
Những đối tượng sử dụng thuốc%,2
%có gây tác dụng phụ không?,1
Thuốc %,55
% - Cách dùng,18
% khi có thai và cho con bú - Phụ nữ mang thai,2
% - Liều dùng,1
Những lưu ý%,20
Những đối tượng đặc biệt khi sử dụng%,80
Hướng dẫn dùng viên uống%,3
Những đối tượng đặc biệt cần lưu ý khi sử dụng%,9
% quá liều và cách xử trí - Nếu quên liều phải làm thế nào?,1
Cách dùng và liều dùng thuốc%,2
% là sản phẩm gì?,4
Các tác dụng phụ khi dùng thuốc%,3
Tương tác giữa%,2
% có tốt không?,2
Trường hợp không được dùng thuốc%,12
lưu ý khi dùng%,0
lưu ý khi dùng%,0
%lưu ý khi dùng%,8
Khi sử dụng thuốc quá liều và cách xử trí%,2
Đối với%,34
Thận trọng%,10
Trường hợp %,24
%có tốt không?,3
Các tương tác giữa%,3
Cần lưu ý gì khi dùng thuốc%,8
Các dạng bào chế và %,3
Quá liều%,24
Bảo quản%,2
Liều lượng sử dụng%,9
Các tác dụng phụ có thể xảy ra%,6
Tác dụng của thuốc%,5
Cần lưu ý gì khi dùng chung thuốc%,3
Các tương tác%,19
Không nên dùng %,3
% là gì?,14
Xử trí quên liều%,2
% là thuốc dùng chữa bệnh gì?,3
% dùng để điều trị bệnh gì?,4
Sử dụng thuốc%,6
Tìm hiểu về %,3
Hướng dẫn cách dùng%,9
Chỉ định dùng thuốc%,9
Ảnh hưởng của%,3
Tương tác thuốc%,2
Những đối tượng nên sử dụng%,6
Liều lượng và cách dùng thuốc%,15
Các dạng trình bày của thuốc %,3
Chống chỉ định và thận trọng khi dùng thuốc%,3
Những điều cần lưu ý khi sử dụng%,6
Các tác dụng phụ nào có thể gặp khi dùng%,2
Những đối tượng nên sử dụng %,3
Những đối tượng cần lưu ý đặc biệt khi sử dụng thuốc - %,5
Các tác dụng phụ của thuốc %,3
Những triệu chứng khi sử dụng%,3
Chỉ định%,8
Những đối tượng đặc biệt cần chú ý khi sử dụng thuốc%,5
% không? -,2
Cần làm gì quá liều%,3
Làm thế nào khi quên liều thuốc%,3
Những đối tượng không được sử dụng%,2
Tính chất của %,2
% khi có thai và cho con bú - Phụ nữ cho con bú,2
%thuộc nhóm nào?,0
thuộc nhóm%,0
% thuộc nhóm nào?,0
% thuộc nhóm nào?,0
% thuộc nhóm kháng sinh nào?,2
%trong trường hợp nào?,2
Xử lý %,4
Dược lực học%,2
Triệu chứng khi dùng quá liều%,2
Nếu tôi quên một liều%,2
Xử trí quá liều%,3
Đối tượng đặc biệt khi dùng%,0
đối tượng đặc biệt khi dùng%,0
%- Lái xe và vận hành máy móc,2
Không sử dụng%,3
% có công dụng gì?,2
Ai không được dùng thuốc%,2
Các đối tượng đặc biệt cần lưu ý khi sử dụng -%,3
"% , và %",0
Trẻ em%,2
Các loại %,2
Gel%,1
Những%,2
Mô tả chung về thuốc%,2
Công dụng thuốc%,8
Công dụng/Chỉ định của thuốc %,3
% là thuốc gì và được sử dụng trong các trường hợp nào?,2
Hướng dẫn dùng%,5
Những cảnh báo đặc biệt khi dùng%,1
% không sử dụng cho đối tượng nào,1
Một số lưu ý%,2
Cách dùng%,0
Dùng thuốc%,2
Các trường hợp không nên dùng%,1
Cách xử trí khi quên liều hoặc quá liều thuốc%,0
Cách xử trí khi quên liều hoặc quá liều%,0
Cách xử trí khi quên liều hoặc quá liều thuốc %,0
Cách xử trí khi quên liều hoặc quá liều%,0
Cách xử trí khi quên liều hoặc quá liều thuốc%,0
Cách xử trí khi quên liều hoặc quá liệu thuốc%,2
Chống chỉ định%,3
Tác động không mong muốn của thuốc%,2
Bảo quản%,4
Thành phần của thuốc%,3
% có dùng được cho phụ nữ có thai và cho con bú không?,3
Làm gì trong trường hợp %,1
Làm gì khi dùng%,1
Công dụng và chỉ định của%,3
Giá thuốc %,2
Giá thành thuốc%,1
Chế phẩm%,1
Tác động không mong muốn khi dùng thuốc điều trị%,2
Những trường hợp cần thận trọng khi dùng thuốc %,3
Bệnh nhân%,5
Các đối tượng đặc biệt sử dụng thuốc %,3
Tác động có hại%,0
Tác dụng phụ%,0
Tác động có hại%,0
Tác động có hại%,0
% tác động có hại trong quá trình%,1
Liều lượng và cách dùng%,2
Công dụng của thuốc%,2
Các thuốc nào cần thận trọng khi dùng chung với %,2
% của bạn?,2
Tác dụng phụ%,1
Có gây %,0
% có gây nghiện không?,1
Các tác dụng phụ khi sử dụng%,1
% là thuốc gì - %,3
% có các tương tác gì với thức ăn?,2
Những %,1
Công dụng và chỉ định sử dụng kháng sinh %,1
Các đối tượng chống chỉ định%,1
Tránh sử dụng thuốc %,2
% có thể dùng chung với loại thuốc nào?,1
Hai đối tượng đặc biệt khi dùng Coldacmin%,1
