context,question,Chosen_Strategy,Model_Reason,Ground_Truth_Answer
- Đau đầu dữ dội sau cơn động kinh Thông thường, một người có cơn động kinh co cứng – co giật sẽ bị cứng và té ngã trong pha cứng. Tứ chi và mặt sẽ giật nhanh và co cơ trong pha co giật. 2.4.4 Sau cơn động kinh co cứng co giật Một cơn động kinh điển hình thường kéo dài một vài phút hoặc ít hơn, sau đó người bệnh có thể chưa tỉnh trong vài phút hoặc hơn tùy thuộc vào cường độ của cơn động kinh. Đây gọi là giai đoạn hậu cơn động kinh, trong giai đoạn này não bộ hoạt động để cố gắng kiềm chế các xung điện bất thường và kiểm soát cơn động kinh. Sau cơn động kinh, người bệnh tỉnh lại có thể cảm thấy đau, mệt mỏi, sợ hãi và lú lẫn. Trấn an và nâng đỡ là điều mà những người chứng kiến có thể thực hiện. Một vài lưu ý cần nhớ Mặc dù chứng kiến một cơn động kinh có vẻ rất đáng sợ và có một truyền thuyết rằng những người có cơn động kinh có nguy cơ cắt phải lưỡi. Điều này hoàn toàn không thể xảy ra. KHÔNG nên đặt bất cứ thứ gì vào miệng hoặc cố gắng mở miệng của bệnh nhân khi họ đang trong cơn động kinh. Bởi việc làm này có thể gây hại cho người bệnh.",Cơn động kinh co giật có dấu hiệu như thế nào?,COMPLEX,,"Cơn động kinh co giật sẽ khiến cho các cơ của người đó bị giật và co thắt. Các cơ ở khuỷu tay, chân, cổ bị co lại và sau đó dãn ra nhanh chóng."
"Trường hợp quên dùng thuốc, hãy uống càng sớm càng tốt khi nhớ ra. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch. Không uống bù hai liều trong cùng một lần.",Nếu thời điểm nhớ quên thuốc Cefurobiotic lại gần với liều tiếp theo thì nên làm gì?,COMPLEX,,"Nếu gần với liều kế tiếp, bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch."
"Hiện vẫn chưa có đầy đủ nghiên cứu trên người. Tuy nhiên: - Phụ nữ có thai, cho con bú: Lưu ý chỉ nên sử dụng thuốc trong thời gian có thai và cho con bú khi thật cần thiết. Nghĩa là sau khi đã cân nhắc thật kĩ giữa lợi ích và nguy cơ cẩn thận giữa mẹ và bé.
- Người vận hành máy móc: Thuốc hiếm khi gây ra tác dụng đau đầu trên người dùng thuốc. Do đó, vẫn có thể sử dụng cho người lái xe hoặc người vận hành máy móc. Tuy nhiên, dù hiếm nhưng vẫn có thể xảy ra. Do đó, nên thận trọng khi dùng.",Người lái xe và người vận hành máy móc có được sử dụng thuốc Casalmux hay không?,COMPLEX,,"Người lái xe và người vận hành máy móc vẫn có thể sử dụng thuốc Casalmux vì thuốc hiếm khi gây ra tác dụng phụ đau đầu. Tuy nhiên, nên thận trọng khi dùng vì vẫn có thể xảy ra tác dụng phụ này."
"Mộc thông đem về loại bỏ tạp chất, rửa sạch, ngâm trong nước, ủ mềm. Thái lát sau đó phơi hoặc sấy khô là được.","Để Mộc thông mềm, cần làm gì tiếp theo sau các bước loại bỏ tạp chất, rửa sạch?",COMPLEX,,"Để có được Mộc thông mềm, cần ngâm trong nước và ủ cho mềm trước khi thái lát."
"Một số thuốc khi uống vào có thể gây nóng rát dạ dày. Sự nóng rát có thể là trực tiếp cho thuốc kích ứng niêm mạc dạ dày. Cũng có thể gián tiếp từ tác dụng của thuốc làm tăng axit dạ dày, làm giảm chất nhầy bảo vệ dạ dày. Một số thuốc thường gặp có thể gây nóng rát bao tử bao gồm: - Nhóm thuốc kháng viêm Corticoide như: Prednisolon, Prednisone, Methylprednisolon,…
- Các thuốc kháng viêm Non Steroid như: Diclofenac, Meloxicam, Naproxen, Aspirin,…
- Thuốc kháng histamin H1 như: Chlopheniramin, Cetirizin, Fexofenadin,…
- Thuốc kích thích thần kinh phó giao cảm như: Cisapride, Isopride,…
- Các thuốc long đờm, làm loãng chất nhầy như: Bromhexin, Acetyl Cystein, Ambroxol,…",Sử dụng một số thuốc gây tăng axit dạ dày có thể dẫn đến tình trạng gì?,COMPLEX,,Sử dụng một số thuốc gây tăng axit dạ dày có thể dẫn đến tình trạng nóng rát dạ dày.
"- Giai đoạn 1A: Khối u nguyên phát rộng từ 2 cm trở xuống và các hạch bạch huyết không bị ảnh hưởng.
- Giai đoạn 1B: Ung thư được tìm thấy trong các hạch bạch huyết gần đó và không có khối u ở vú hoặc khối u nhỏ hơn 2 cm.",Giai đoạn 1B của ung thư vú có đặc điểm gì?,COMPLEX,,"Trong giai đoạn 1B, ung thư được tìm thấy trong các hạch bạch huyết gần đó nhưng không có khối u ở vú hoặc khối u nhỏ hơn 2 cm."
"Nếu bạn gặp bất kỳ điều gì bất thường ở vùng xương chậu, chẳng hạn như chảy máu giữa kì kinh hoặc đau bụng dưới không rõ nguyên nhân, hoặc các biểu hiện đã nêu ở phần trên, hãy hẹn gặp bác sĩ. Nếu không được điều trị, một số tình trạng vùng chậu có thể ảnh hưởng lâu dài đến sức khỏe và khả năng sinh sản của bạn. Vùng chậu chứa nhiều cơ quan quan trọng, đặc biệt là các cơ quan sinh sản. Chăm sóc giữ gìn, đặc biệt nhận biết các bất thường liên quan đến vùng chậu là cách để bảo vệ sức khỏe sinh sản bản thân.",Tại sao nên chăm sóc sức khỏe vùng chậu?,COMPLEX,,"Vùng chậu chứa nhiều cơ quan quan trọng, đặc biệt là các cơ quan sinh sản. Chăm sóc giữ gìn, đặc biệt nhận biết các bất thường liên quan đến vùng chậu là cách để bảo vệ sức khỏe sinh sản bản thân."
"Dựa trên các nghiên cứu hiện có, liều lượng an toàn của sâm tố nữ bổ sung trong chế độ ăn uống cho người là 1-2 mg/kg thể trọng/ngày hoặc khoảng 50-100 mg/ngày.4 Lưu ý: sử dụng liều cao hơn 200 mg/kg thể trọng/ngày gây tăng sinh tế bào trong tuyến vú. Nếu dùng trong thời gian ngắn có thể tăng trọng lượng tử cung, giãn nở, xuất huyết và viêm thành tử cung. Nếu dùng liều này kéo dài có thể sinh ung thư nội mạc tử cung, tuyến vú. Vì vậy, liều lượng tối ưu cho mục đích sử dụng cần được tính toán trước để tránh tác dụng phụ không mong muốn.","Để tránh tác dụng phụ không mong muốn, liều lượng tối ưu cho mục đích sử dụng sâm tố nữ cần được xác định như thế nào?",COMPLEX,,"Để tránh tác dụng phụ không mong muốn, liều lượng tối ưu cho mục đích sử dụng sâm tố nữ cần được tính toán trước."
"Là thời gian từ lúc phẩy khuẩn tả xâm nhập cơ thể đến khi có các triệu chứng đầu tiên. Đây là lúc vi khuẩn sinh sôi phát triển, tích lũy độc tố trong cơ thể. Thời kỳ ủ bệnh của tả không có triệu chứng. Thường kéo dài từ 6 – 48 giờ, tối đa 5 ngày. Dù chưa có biểu hiện, thời kỳ này mầm bệnh vẫn có thể phát tán và lây lan.",Thời kỳ ủ bệnh tả có thể kéo dài đến bao nhiêu ngày?,COMPLEX,,"Thường kéo dài từ 6 – 48 giờ, tối đa 5 ngày."
"Khi quá liều Alzental Shinpoong, bệnh nhân sẽ có triệu chứng như phản ứng sốc phản vệ, phát ban, rụng tóc nhiều. Nhiều biểu hiện nghiêm trọng hơn nhiều như suy giảm bạch cầu, suy giảm chức năng gan.4 Do đó, hãy đến bệnh viện ngay lập tức và mang theo thuốc để bác sĩ có thể tìm lí do dễ dàng và xử trí kịp thời.",Tại sao cần đưa bệnh nhân đến bệnh viện ngay khi dùng quá liều Alzental Shinpoong?,COMPLEX,"To answer the question, we need to extract information from the context that explains the reasons for seeking medical attention immediately after using too much Alzental Shinpoong. This requires combining information from multiple parts of the context","Việc đưa bệnh nhân đến bệnh viện ngay khi dùng quá liều Alzental Shinpoong rất quan trọng vì có thể xuất hiện nhiều biểu hiện nguy hiểm hơn như suy giảm bạch cầu, suy giảm chức năng gan."
"Không có biện pháp nào có thể phòng ngừa không mắc phải ung thư biểu mô tế bào gan một cách tuyệt đối. Tuy nhiên, có nhiều biện pháp dự phòng khác nhau có thể thực hiện nhằm giảm thiểu khả năng mắc phải loại ung thư này, đó là can thiệp kiểm soát các yếu tố nguy cơ:1 5 6 7 11 - Tiêm ngừa viêm gan siêu vi B.
- Hạn chế sử dụng đồ uống có cồn, không hút thuốc lá (kể cả hút thụ động khói thuốc lá từ người khác).
- Chẩn đoán và điều trị sớm các bệnh gan nền mạn tính như viêm gan siêu vi B, C, bệnh gan nhiễm mỡ không do rượu, viêm gan nhiễm mỡ không do rượu, bệnh ứ sắt,…
- Thực hành quan hệ tình dục an toàn.
- Không dùng chung bơm kim tiêm với người khác.
- Chế độ ăn lành mạnh, kiểm soát cân nặng, hạn chế béo phì và điều trị kiểm soát ổn định bệnh đái tháo đường.
- Thực hiện các thủ thuật như xăm mình, tạo hình thẩm mỹ,… tại các cơ sở được cấp phép và chứng nhận an toàn. Về phía nhân viên y tế và các cơ sở y tế cần bổ sung thêm: - Thực hành an toàn trong tiêm truyền, các thủ thuật, phẫu thuật trên người bệnh.
- Tầm soát kiểm tra các chế phẩm hiến tặng như máu, mô, cơ quan nội tạng.",Hút thuốc lá có ảnh hưởng như thế nào đến nguy cơ mắc ung thư biểu mô tế bào gan?,COMPLEX,"To answer the question, we need to extract information about smoking from the given context and understand its relationship to the risk of developing hepatocellular carcinoma. This involves combining information from multiple parts of the context, especially the","Hút thuốc lá làm tăng nguy cơ mắc ung thư biểu mô tế bào gan. Vì thế, nên hạn chế sử dụng đồ uống có cồn, không hút thuốc lá (kể cả hút thụ động khói thuốc lá từ người khác)."
"Trên thị trường hiện nay thuốc Alsiful S.R được bán với giá tham khảo 310.000 – 380.000 VNĐ cho hộp 3 vỉ x 10 viên. Mức giá có thể chênh lệch tùy thuộc vào thời điểm mua thuốc và các nhà thuốc, cửa hàng khác nhau. Trên đây là các thông tin chi tiết về công dụng, cách dùng và tác dụng phụ của thuốc Alsiful S.R. Hãy gọi ngay cho các nhân viên y tế nếu xuất hiện bất kỳ một triệu chứng nào bất thường để có thể được xử trí và hỗ trợ kịp thời nhé! Mong rằng những thông tin Dược sĩ Phan Tiểu Long đã cung cấp sẽ giúp ích được cho bạn!",Nếu khi dùng thuốc Alsiful S.R xuất hiện bất kỳ một triệu chứng nào bất thường thì phải làm gì?,COMPLEX,"The question requires understanding the information provided about what to do if there are any unusual symptoms while using the medication, which is not a direct fact but rather a recommendation based on the information given.",Cần gọi ngay cho các nhân viên y tế để có thể được xử trí và hỗ trợ kịp thời.
"Các thành phần hoạt tính sinh học quan trọng trong Tang ký sinh là coriaria lacton bao gồm sesquiterpene lacton: coriamyrtin, tutin, corianin và coriatin.",Có bao nhiêu chất hoạt tính sinh học quan trọng trong Tang ký sinh?,COMPLEX,"The question requires counting the number of sesquiterpene lactones mentioned in the context, which involves combining information from multiple parts of the text.",Có 4 chất hoạt tính sinh học quan trọng trong Tang ký sinh.
"Ở một số bệnh nhân suy tuyến yên, không tìm thấy một nguyên nhân rõ ràng. Bệnh cảnh này thường có tính gia đình (liên quan nhiễm sắc thể giới tính X hoặc nhiễm sắc thể thường), hố yên có thể nhỏ, rộng hoặc bình thường.",Hố yên trong trường hợp vô căn có đặc điểm gì?,COMPLEX,"To answer the question, we need to combine information from the context about the characteristics of hypophyseal cysts in cases of unknown cause, which is not directly stated but can be inferred from the given information","Hố yên trong trường hợp vô căn có thể nhỏ, rộng hoặc bình thường."
" Bé có thể cần vài cuộc phẫu thuật để điều trị bệnh. Bác sĩ phẫu thuật sẽ thực hiện quá trình gồm có ba giai đoạn. Những cuộc phẫu thuật này được thực hiện để giúp dòng máu chảy bình thường, đi ra khỏi tim và đưa máu giàu oxy đi đến các cơ quan trong cơ thể.  Một lựa chọn phẫu thuật khác, đó chính là ghép tim, đặc biệt khi có các khuyết tật tim khác rất phức tạp. Bé mắc hội chứng thiểu sản tim trái có thể được cân nhắc ghép tim. Sau khi ghép tim, bé cần sử dụng một thời gian dài để tránh tình trạng đào thải tạng hiến. ",Bác sĩ sẽ thực hiện mấy giai đoạn để điều trị hội chứng thiểu sản tim trái?,COMPLEX,"The question requires understanding the information about the treatment process for the condition, which is spread across different parts of the context. It's not a straightforward fact that can be extracted directly.",Bác sĩ phẫu thuật sẽ thực hiện quá trình gồm có ba giai đoạn.
"Loại bệnh này có thể gây ra những tổn thương nghiêm trọng ở tim, đặc biệt là van tim. Van hay bị tổn thương nhất là loại van nằm ở giữa buồng tim trái, còn gọi là van hai lá. Tuy nhiên, các van khác vẫn có thể bị ảnh hưởng. Tổn thương có thể gây ra: - Hẹp van: Làm cản trở dòng máu chảy trong các buồng của tim.
- Hở van: Làm dòng máu qua các buồng tim không được chảy đúng cách.
- Tổn thương cơ tim: Tinh trạng viêm gây ra bởi sốt thấp khớp có thể làm yếu cơ tim. Điều này ảnh hưởng đến khả năng bơm máu của tim. Tổn thương van hai lá và các van khác hoặc tổn thương cơ tim có thể ảnh hưởng đến chức năng tim sau này với các hậu quả như: - Nhịp tim không đều do rung nhĩ.
- Suy tim.",Sốt thấp khớp có thể gây ra hậu quả gì?,COMPLEX,"To answer the question, we need to extract information from the context about the effects of fever on the heart, which is not a direct fact but rather a consequence of a specific condition (fever-induced inflammation of the","Sốt thấp khớp có thể gây ra những tổn thương nghiêm trọng ở tim, đặc biệt là van tim."
"Chuẩn bị: Rễ cây Nổ. Thực hiện: Sắc lấy nước đặc, đem ngậm súc miệng và nhổ đi.","Khi sắc thuốc chữa viêm lợi, nên sắc rễ cây Nổ đặc tới mức nào?",COMPLEX,"The question requires understanding the specific instructions given in the context for preparing the medicinal preparation, which involves multiple steps and conditions (serving the purpose of súc miệng and nhổ đi). This cannot be answered with a",Nên sắc rễ cây Nổ lấy nước đặc.
"Độ pH ở các cơ quan khác nhau trong cơ thể là không giống nhau. pH là một trong những yếu tố vô cùng quan trọng ảnh hưởng đến sức khỏe của con người. Độ pH của cơ thể có khả năng ảnh hưởng đến mọi tế bào trong cơ thể. pH của máu có tính kiềm. Bộ não, hệ tuần hoàn, thần kinh, hệ tiêu hoá… làm việc tốt ở mức độ pH thích hợp. Khi pH của cơ thể bị quá axit, cơ thể dễ bị bệnh. Ví dụ như bệnh tim mạch, lão hoá sớm, các vấn đề về thần kinh, dị ứng, ung thư. Tốt hơn hết ăn khoảng 60 – 80% thực phẩm tạo kiềm, khoảng 20 – 40% thực phẩm tạo axit. Nếu duy trì được chế độ ăn này thì pH của cơ thể hơi kiềm. Đó là điều kiện để có sức khoẻ tốt.",Làm sao để duy trì độ pH của cơ thể hơi kiềm?,COMPLEX,The question requires understanding the information provided in the context about the ideal pH range and the recommended dietary balance to achieve this. It also involves interpreting the information about the effects of pH imbalance on health.,"Để duy trì độ pH của cơ thể hơi kiềm, nên ăn khoảng 60 – 80% thực phẩm tạo kiềm, khoảng 20 – 40% thực phẩm tạo axit."
"Ngũ gia bì có chứa khoảng 0,9 – 1% tinh dầu, saponin triterpene.",Saponin triterpene trong Ngũ gia bì có tác dụng gì?,COMPLEX,"The question asks about the effects of saponin triterpene in Ngũ gia bì, which requires interpreting the information provided in the context and inferring the potential effects, rather than just extracting a direct","Saponin triterpene trong Ngũ gia bì có tác dụng kháng khuẩn, chống viêm và hạ sốt."
"Đây là một tình trạng bệnh lý nặng nề. Nguyên nhân có thể do vi trùng, virus hoặc nấm. Cơ chế gây bệnh chủ yếu do các gãy xương cũ gần khớp hoặc do sử dụng kim chích giảm đau nội khớp. Bệnh lý này nếu không điều trị có thể gây hoại tử khớp, thậm chí tử vong.",Nguyên nhân chính gây viêm khớp nhiễm trùng là gì?,COMPLEX,"To answer the question, we need to extract the main cause from the information provided in the context, which involves combining information from multiple parts of the text.","Viêm khớp nhiễm trùng có nguyên nhân chính là vi trùng, virus hoặc nấm."
"- Cảm giác như có gì đó trong mắt bạn (cộm mắt).
- Nóng hoặc cay mắt.
- Chảy nước mắt.
- Ngứa mắt.
- Nhạy cảm với ánh sáng (sợ ánh sáng).
- Mắt hoặc mí mắt sưng và đỏ.
- Nước mắt có bọt hoặc có bọt nhỏ trong đó.
- Mắt bị khô.
- Mí mắt hoặc lông mi sần sùi khi bạn thức dậy.",Viêm mí mắt là gì?,COMPLEX,"The question asks for a definition of ""viêm mí mắt"" which requires explaining the symptoms and conditions listed in the context. This cannot be directly extracted as a single fact or list, but requires combining information from multiple","Viêm mí mắt là tình trạng mi mắt bị viêm nhiễm, thường xuất phát từ các tuyến dầu nhờn rất nhỏ ở gốc lông mi hoặc vi khuẩn có trên da."
"Dùng cỏ đuôi chuột tươi, đem ngâm rửa với nước muối cho sạch. Sau đó để ráo, giã nát và thêm đường vào, ngậm nuốt lấy nước.",Cách dùng cây đuôi chuột như thế nào?,COMPLEX,"The question asks for a method or process for using the cỏ đuôi chuột (mouse tail grass), which requires combining information from multiple parts of the given context to fully understand the steps involved.","Dùng cỏ đuôi chuột tươi, đem ngâm rửa với nước muối cho sạch. Sau đó để ráo, giã nát và thêm đường vào, ngậm nuốt lấy nước."
"Hầu hết trẻ bị động kinh vắng ý thức không gây ra biến chứng. Tuy nhiên, ở một số trẻ: - Phải dùng thuốc chống động kinh suốt đời để ngăn chặn cơn động kinh.
- Diễn tiến đến co giật toàn bộ, như động kinh co cứng – co giật. Các biến chứng khác có thể bao gồm: - Khó khăn trong học tập.
- Các vấn đề về hành vi.
- Tách biệt với xã hội.",Sử dụng thuốc chống động kinh suốt đời là cần thiết trong trường hợp nào?,COMPLEX,"To answer the question, we need to extract information from the context that specifies the cases where using anti-seizure medication for life is necessary. This requires combining information from multiple parts of the context, especially since the",Sử dụng thuốc chống động kinh suốt đời là cần thiết để ngăn chặn cơn động kinh ở một số trẻ bị động kinh vắng ý thức.
"Bisoloc được chỉ định trong một số trường hợp: - Tăng huyết áp.
- Đau thắt ngực.
- Suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim. Chỉ định này do thầy thuốc chuyên khoa quyết định Bạn nên nhớ đây là thuốc bán theo đơn và chỉ được sử dụng khi có chỉ dẫn của bác sĩ.",Trong trường hợp nào thì Bisoloc được sử dụng để điều trị suy tim?,COMPLEX,"To answer the question, we need to extract the relevant information from the context that specifies the conditions for using Bisoloc, which is not a direct fact but requires combining information from multiple parts of the context.","Bisoloc được sử dụng để điều trị suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim."
"Thay đổi lối sống. Cũng như các loại khớp khác thì ban đầu sẽ không có can thiệp phẫu thuật. Bằng cách thay đổi lối sống, khớp háng sẽ được bảo vệ hơn và làm chậm đi quá trình thoái hóa khớp. - Giảm thiểu các hoạt động làm nặng thêm tình trạng bệnh, ví dụ như leo cầu thang
- Chuyển từ các hoạt động va chạm nhiều (như đi bộ, đánh tennis) sang các hoạt động nhẹ nhàng hơn (như bơi lội, đạp xe). Điều này làm giảm đi sức ép lên khớp háng.
- Giảm cân cũng góp phần giảm sức ép lên khớp háng. Giảm cân giúp giảm đau và cải thiện chức năng của khớp. Vật lý trị liệu: Những bài tập đặc biệt có thể tăng khả năng vận động và độ dẻo dai, cũng như tăng cường sức mạnh của cơ ở chân và háng. Thuốc: Nếu các cơn đau ảnh hưởng đến sinh hoạt hàng ngày, hoặc đau không giảm sau khi sử dụng các biện pháp trên thì thầy thuốc có thể kê cho bạn một số thuốc giúp giảm đau và hạn chế quá trình viêm.",Vật lý trị liệu có vai trò gì trong điều trị thoái hóa khớp háng?,COMPLEX,"To answer the question, we need to extract information about the role of physical therapy from the given context, which involves combining information from multiple parts of the text.","Vật lý trị liệu bao gồm các bài tập đặc biệt giúp tăng khả năng vận động, độ dẻo dai và sức mạnh cơ ở chân và háng."
"Thoát vị đĩa đệm không phải lúc nào cũng có triệu chứng. Mặc khác, các triệu chứng phổ biến nhất là tê, đau hoặc giảm cảm giác lan dọc xuống chân một bên hoặc hai bên. Những triệu chứng này ảnh hưởng đến các phần khác nhau của chân, tùy thuộc tầng đĩa đệm bị thoát vị. - Khởi phát đau lưng. Người bệnh có thể cảm thấy đau tỏa ra từ vùng lưng dưới.
- Khi đau lan dọc xuống chân thì đau lưng giảm.
- Đau lan xuống mông, đùi, cẳng chân; giảm đau với tư thế gập háng & gập gối. Người bệnh phải thay đổi tư thế mỗi 10-20 phút.
- Hiệu ứng ho (Cough effect): 87% tăng đau khi ho, hắt hơi, nhảy mũi, rặn đi đại tiện.
- Triệu chứng bàng quang (1-18%): Lúc đầu Bàng quang giảm cảm giác là dấu hiệu có sớm như khó đi tiểu, tiểu rặn, tiểu còn tồn đọng nước tiểu. Về sau, thường thấy có triệu chứng “kích thích” như mắc tiểu không nhịn lâu được (urinary urgency), tiểu nhiều lần (không bao gồm tiểu đêm). Bí tiểu liên quan đến chèn ép chùm rễ thần kinh đuôi ngựa.","Trong trường hợp bị thoát vị đĩa đệm cột sống thắt lưng, khi nào cơn đau lưng giảm?",COMPLEX,"To answer the question, we need to understand the information provided about the symptoms and their progression, particularly the mention that ""When the pain runs down the leg, the back pain decreases."" This requires interpreting the context information",Đau lưng giảm khi cơn đau lan dọc xuống chân xuất hiện.
"Dùng thuốc Acritel quá liều gây ảnh hưởng đến hệ thần kinh trung ương hoặc tác dụng kháng cholinergic. Tác dụng không mong muốn ghi nhận bao gồm: lú lẫn, chóng mặt, giãn đồng tử, ngứa, bồn chồn, buồn ngủ, nhịp tim nhanh, bí tiểu,… Hiện không có thuốc giải độc đặc hiệu khi sử dụng thuốc Acritel quá liều. Cần báo ngay cho cơ sở y tế địa phương, hoặc bác sĩ hoặc sĩ ngay khi phát hiện tình trạng sử dụng thuốc quá liều để kịp thời xử lý.","Trong trường hợp sử dụng thuốc Acritel quá liều, cần phải làm gì?",COMPLEX,"The question requires understanding the consequences of using Acritel in excess and the appropriate actions to take in such a situation, which involves interpreting the information provided in the context.","Cần báo ngay cho cơ sở y tế địa phương, hoặc bác sĩ hoặc sĩ ngay khi phát hiện tình trạng sử dụng thuốc quá liều để kịp thời xử lý."
